uuid,human_frame_0,human_frame_1,human_frame_2,human_frame_3,human_frame_4,human_frame_5,human_frame_6,all_human_frames
0054ad1b-896e-42cf-a3fb-c9eedea17ec4,,,political,,,,,political
0074f73a-d30e-44dd-9400-2647d1831068,,"quality of life, health and safety",,,none,"quality of life, health and safety, economic",,"quality of life, health and safety, none, quality of life, health and safety, economic"
00a081b7-e1e5-4232-9b12-cd6a61a2f8c2,,"quality of life, capacity and resources",,,none,health and safety,,"quality of life, capacity and resources, none, health and safety"
00b13142-7408-42b2-a0cc-571f67ab6e23,,,external regulation and reputation,,,,,external regulation and reputation
00ba838f-e9fd-4b52-9004-e007cd5c79db,morality,,,,,,none,"morality, none"
012a28c8-7c34-4ea1-85b9-42df2166f7b7,,,none,none,,,,"none, none"
01352fca-94af-4aab-9ed5-ce3eb33e0b3c,,,"health and safety, crime and punishment",,,,,"health and safety, crime and punishment"
01ef38ef-868a-41d1-89b7-4c6d2cfa4ecc,,none,,,none,none,,"none, none, none"
020d8039-7bc3-48cf-a731-4abd2437b8a2,,,"none, cultural identity",,,,,"none, cultural identity"
021dd7e9-006d-419b-80f2-fd19cc132b2f,,,health and safety,,,,,health and safety
02617f60-612f-45e6-aed1-d37273f9b188,,"quality of life, capacity and resources",,,none,health and safety,,"quality of life, capacity and resources, none, health and safety"
0294cf33-eab1-43e3-b202-a4371b63ea0c,,none,,,cultural identity,none,,"none, cultural identity, none"
031a70fb-6456-4dd2-b966-196411352b7d,,security and defense,,none,crime and punishment,crime and punishment,,"security and defense, none, crime and punishment, crime and punishment"
032e48c5-ee23-4403-9439-fcbcee7488e5,,,security and defense,,,,,security and defense
03ed949c-5225-479e-a0af-77b7ad1c3e53,political,,,,,,political,"political, political"
043e93da-5691-443b-ac8e-3537f43d37c6,,capacity and resources,,,health and safety,none,,"capacity and resources, health and safety, none"
04420fb0-8479-4b4d-b014-27408a4b0bd2,,,,none,,,,none
04ad1d76-8550-4634-9d10-e710ac4a2ca6,,,,none,,,,none
04e9dcb6-9e87-4199-bbf2-6cd8e2bedf35,,public opinion,,,none,"security and defense, public opinion",,"public opinion, none, security and defense, public opinion"
04ed88e0-17f6-4bfd-8fea-c37d02b06cf1,,quality of life,,,quality of life,"quality of life, economic",,"quality of life, quality of life, quality of life, economic"
05151fc8-458a-4ff8-bf54-2c7541f544bd,public opinion,,,,,,"public opinion, cultural identity","public opinion, public opinion, cultural identity"
05b0ad03-dec7-4a9d-9a0a-5907d80e5d10,,health and safety,,,crime and punishment,health and safety,,"health and safety, crime and punishment, health and safety"
05d345cc-f034-4b2c-9b21-461b3b6ec1bb,health and safety,,,,,,none,"health and safety, none"
061025bd-8bd6-40d1-be95-c83a5db46ccd,security and defense,,,,,,health and safety,"security and defense, health and safety"
066ea44a-af30-4b5e-9b9b-5f3c2abbfd19,quality of life,,,,,,none,"quality of life, none"
06d3e05a-dc42-446a-ba15-66d777723d94,,,cultural identity,,,,,cultural identity
078f8ada-88e0-4be7-8e00-2ee482a5e588,,,health and safety,,,,,health and safety
07adaaf4-dd54-4c43-90e9-37cba82d7b3c,,,none,,,,,none
07b3ba99-a24a-4bde-941c-edad1a0177b7,,capacity and resources,,,none,"fairness and equality, legality_constitutionality_jurisprudence, morality, public opinion, cultural identity, crime and punishment",,"capacity and resources, none, fairness and equality, legality_constitutionality_jurisprudence, morality, public opinion, cultural identity, crime and punishment"
07ea3129-14c4-4918-8848-655ace57f517,,fairness and equality,,,cultural identity,"morality, cultural identity",,"fairness and equality, cultural identity, morality, cultural identity"
07f21bb9-00b5-4dd1-92bc-4e27ca74e4b3,,none,,,cultural identity,capacity and resources,,"none, cultural identity, capacity and resources"
080411d9-41cd-40e2-b0ca-d530e55173ac,,,,none,,,,none
089a28c6-1de0-4904-9058-f3930cd1188c,political,,,,,,political,"political, political"
08f24030-ed6d-4f92-bdf3-370faca0b3b5,,,none,,,,,none
0911b762-237c-4f1b-99e5-7637cbaed46a,,political,,,political,"political, economic",,"political, political, political, economic"
09374bdd-b16d-439b-b94c-3bb69027ab5e,,capacity and resources,,,none,health and safety,,"capacity and resources, none, health and safety"
0944ff2e-8fde-4c4c-9816-b37ad37a97c6,,,none,,,,,none
099465c2-a1e3-4459-9f03-61ab92e93f04,,,none,,,,,none
099cf0bf-d7a9-4412-9097-c309ff57b791,economic,,,,,,none,"economic, none"
09a8c148-ac95-42c0-aefb-a1aab286851f,,none,,,cultural identity,"political, public opinion, cultural identity",,"none, cultural identity, political, public opinion, cultural identity"
0a2780ef-bdaa-4a1e-9a4f-fac7e5003137,,capacity and resources,,,none,"capacity and resources, economic",,"capacity and resources, none, capacity and resources, economic"
0a49b3e1-dad9-4856-9fc5-bc515730eb92,political,,,,,,capacity and resources,"political, capacity and resources"
0a6a65fe-1529-46b2-a301-354dfa34f315,health and safety,,,health and safety,,,health and safety,"health and safety, health and safety, health and safety"
0b1c8715-2882-4664-82c0-927aa9210cf2,,,health and safety,,,,,health and safety
0b328272-6b74-4022-a2af-c812872a4926,political,,,,,,political,"political, political"
0b3aa94d-f3c7-4dab-9790-73761573d46f,,,,none,,,,none
0b58693a-1345-48df-af90-8df0391eba8b,,,none,,,,,none
0b690f43-99a6-4d96-a4b9-f39b5d1d88cd,,,political,,,,,political
0bbc2741-129c-4f1a-bbd7-043be994ef70,,capacity and resources,,,none,"health and safety, cultural identity",,"capacity and resources, none, health and safety, cultural identity"
0be9b862-0e8b-4098-975d-382d2dd8dfa0,crime and punishment,,,security and defense,,,crime and punishment,"crime and punishment, security and defense, crime and punishment"
0c303042-0c7f-4350-b708-1e6a7f59120b,,,none,,,,,none
0c729c9d-c6ed-40fd-abd1-51bf17c957e1,,,none,,,,,none
0ca56725-d093-480e-9d9e-cc3cb227a0f9,,,,none,,,,none
0cf7b3de-2f40-43a6-bf33-996ae27fafce,,quality of life,,,quality of life,none,,"quality of life, quality of life, none"
0dacec4a-efec-4544-8efc-b89d8e21fc36,none,,,,,,cultural identity,"none, cultural identity"
0dde508b-bee8-4d4b-b8b3-b693f63a0e03,,,none,,,,,none
0df831bd-aa37-43a1-969b-04a18d3b279a,none,,,,,,none,"none, none"
0dffbdef-f190-4567-a76c-5a544c64caa0,,,economic,,,,,economic
0e55fb7b-1941-4075-b7a8-6922c9da5762,,,political,,,,,political
0e5f3b4e-1080-483b-8a78-7a2c4559b293,,,,"quality of life, economic",,,,"quality of life, economic"
0ea38199-caed-41ca-958d-d1dbc0501678,,fairness and equality,,,public opinion,cultural identity,,"fairness and equality, public opinion, cultural identity"
0f1cb1f4-6797-4e8d-a03c-77a5ed5f2699,political,,,,,,quality of life,"political, quality of life"
0f65fc80-c77e-45d2-96e7-551e09c7f72c,,,none,,,,,none
0fc475fe-8b57-4e3e-894a-d6be537130c0,economic,,,,,,health and safety,"economic, health and safety"
0fcfd8e3-c706-4021-8bd4-0e95a1be4c02,,morality,,,none,"quality of life, health and safety, cultural identity",,"morality, none, quality of life, health and safety, cultural identity"
103d3bb9-8316-490c-a01d-c3c04236f8ef,,cultural identity,,,cultural identity,cultural identity,,"cultural identity, cultural identity, cultural identity"
11058a8a-af11-41db-8086-94fa0f11114c,,,,cultural identity,,,,cultural identity
1141988d-e3f5-40b5-b049-40f22c5b4456,,economic,,,none,"political, security and defense, public opinion",,"economic, none, political, security and defense, public opinion"
1155c6db-cbe7-4ddb-8734-77a00bcc9356,cultural identity,,,,,,cultural identity,"cultural identity, cultural identity"
11bc8b70-3aee-49e6-8341-c9b3274763e2,,,,none,,,,none
11cc37cf-5dd4-44b2-8545-68e6d8d382ae,quality of life,,,,,,none,"quality of life, none"
122011db-8be7-4ac4-b4c7-a00e65984475,none,,,,,,none,"none, none"
12611745-bd10-4e23-8906-9be4a0b0b1e8,,none,,,none,"capacity and resources, political, security and defense, fairness and equality, legality_constitutionality_jurisprudence, economic",,"none, none, capacity and resources, political, security and defense, fairness and equality, legality_constitutionality_jurisprudence, economic"
12821fad-8a17-4dfe-bdf9-0720182ded14,,security and defense,,,security and defense,health and safety,,"security and defense, security and defense, health and safety"
12f322df-fedd-47c9-a734-32962aebc1c7,political,,,,,,"security and defense, cultural identity","political, security and defense, cultural identity"
131f5de7-d7bc-48e5-8af8-e06ad9dfeec8,,"quality of life, cultural identity",,,cultural identity,none,,"quality of life, cultural identity, cultural identity, none"
132275f5-9a13-45c2-af3c-2dc954f10c1b,,,,cultural identity,,,,cultural identity
13b599f3-89bb-4b45-af51-28c0c202e905,,,,quality of life,,,,quality of life
13c36645-2724-4933-877e-11ea1e964c37,quality of life,,,,,,none,"quality of life, none"
1403304e-bd52-430b-b68c-24e491b64264,,,,"quality of life, economic",,,,"quality of life, economic"
146e7630-f2da-4d3b-990a-6a3eef9972ca,none,,,,,,cultural identity,"none, cultural identity"
1470c8c3-978b-460a-897f-26f9301559de,,,,cultural identity,,,,cultural identity
1471094b-e237-4d24-ae24-2e25ae386f17,none,,,,,,cultural identity,"none, cultural identity"
14a36f44-2e64-4041-9a3c-68fd0238489d,,,,none,,,,none
14e25239-c0e5-4c3e-b65b-35017e456c20,,,political,political,,,,"political, political"
14f8231d-54ac-4a81-a336-001d7d14b733,,,,security and defense,,,,security and defense
1550bc4c-68cd-47c1-b04f-f5b5f524976e,quality of life,,,,,,none,"quality of life, none"
15625a74-65a8-4073-ab64-eee86671e14f,,,,political,,,,political
156506c2-5e1c-4dc6-bcd5-be76061aef6a,,,health and safety,quality of life,,,,"health and safety, quality of life"
15b7c1b6-b38c-46ec-aa9b-86a13c47917b,,,none,economic,,,,"none, economic"
15ee6aff-4fb2-4341-a072-ac8693eb77ad,,,none,,,,,none
1611401d-ee37-41b5-81e5-aa5fb67d7808,,,cultural identity,,,,,cultural identity
1617998c-60c6-4ea3-8618-a15660890e73,,,economic,,,,,economic
161a041b-0885-44ed-ad69-4aa6256c1857,,capacity and resources,,,quality of life,"quality of life, economic",,"capacity and resources, quality of life, quality of life, economic"
16597d6b-9a88-4c66-b5b9-3981a9100aaa,public opinion,,,,,,public opinion,"public opinion, public opinion"
1670efd4-b133-4e13-87f9-df572b002e08,,none,,,economic,"quality of life, economic",,"none, economic, quality of life, economic"
167b6dc7-e472-4564-9761-04ab94ef281f,,health and safety,,,health and safety,health and safety,,"health and safety, health and safety, health and safety"
16a91e31-9344-45db-9d4c-21d5fce043b4,,,,none,,,,none
16b2b355-3196-47df-a385-9261e827195b,,,quality of life,,,,,quality of life
17392dcb-0570-4728-b8cf-635c6caf5345,economic,,,,,,none,"economic, none"
1760b0af-c668-4e5b-b8ea-4c31b185d5f6,,,none,,,,,none
177755f6-2adb-4ea4-9749-416e5920bb01,,,political,,,,,political
177c7db1-9950-41d0-8a9c-336605fc4418,public opinion,,,"political, public opinion",,,"public opinion, cultural identity","public opinion, political, public opinion, public opinion, cultural identity"
182e50c3-8a27-47fa-b2c4-7c65e73a825c,,none,,,none,none,,"none, none, none"
18c19e01-7aef-42ef-b2ad-30b4a634a0a6,,,,none,,,,none
192fe228-a5fe-436e-93c0-84918aaef47f,,,health and safety,,,,,health and safety
