,example,changed,quality of life,capacity and resources,political,security and defense,policy prescription and evaluation,fairness and equality,none,health and safety,"legality, constitutionality and jurisprudence",morality,economic,public opinion,cultural identity,external regulation and reputation,crime and punishment,uuid
0,./data/images/33d70346-714b-4d68-a70e-5b0293ef9894.jpg,True,True,True,False,True,False,True,False,True,False,True,False,False,False,False,True,33d70346-714b-4d68-a70e-5b0293ef9894
1,./data/images/b680b8de-9739-475c-b099-64d8298aff89.jpg,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,b680b8de-9739-475c-b099-64d8298aff89
2,./data/images/86433cce-43cf-4569-bbba-9fd63b0b7ab3.jpg,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,86433cce-43cf-4569-bbba-9fd63b0b7ab3
3,./data/images/f1c0adf4-34e8-443b-8d00-3a6fd3d9a1af.jpg,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,f1c0adf4-34e8-443b-8d00-3a6fd3d9a1af
4,./data/images/5a8f6570-1a2e-4de5-9f93-1daf7523bf91.jpg,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,5a8f6570-1a2e-4de5-9f93-1daf7523bf91
5,./data/images/94e2fce9-2a96-41e3-ba85-d515e532b2da.jpg,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,94e2fce9-2a96-41e3-ba85-d515e532b2da
6,./data/images/1a7968ef-0826-419c-903b-5f0285e57380.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1a7968ef-0826-419c-903b-5f0285e57380
7,./data/images/a4fc6cb4-b8a4-4183-a16d-ffa16b72a8d5.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,a4fc6cb4-b8a4-4183-a16d-ffa16b72a8d5
8,./data/images/12efbc35-a083-4487-848d-c1d6a75c1203.jpg,True,False,True,True,False,False,True,False,True,False,False,True,True,True,False,False,12efbc35-a083-4487-848d-c1d6a75c1203
9,./data/images/858594ed-ab98-4e27-9fa7-2064439a6187.jpg,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,858594ed-ab98-4e27-9fa7-2064439a6187
10,./data/images/dd8b72de-eeb4-4736-ab57-7563b760c1b0.jpg,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,dd8b72de-eeb4-4736-ab57-7563b760c1b0
11,./data/images/be98675c-3dbe-4770-a17d-c9f2cba13200.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,be98675c-3dbe-4770-a17d-c9f2cba13200
12,./data/images/7ef6cb20-a24d-4200-9ae5-fe2b56d99f4f.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7ef6cb20-a24d-4200-9ae5-fe2b56d99f4f
13,./data/images/e977c749-da10-4b31-ad50-9182a46cf4f9.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,e977c749-da10-4b31-ad50-9182a46cf4f9
14,./data/images/eb08359f-3ae9-4e0b-954b-83b6fb74280e.jpg,True,False,True,True,True,True,False,False,True,True,False,False,True,False,True,True,eb08359f-3ae9-4e0b-954b-83b6fb74280e
15,./data/images/e6b89a7d-0871-4f0c-bfcb-365e3afef5ad.jpg,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,e6b89a7d-0871-4f0c-bfcb-365e3afef5ad
16,./data/images/716f3bb7-22f7-4c4a-ad83-d54f42bc922b.jpg,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,716f3bb7-22f7-4c4a-ad83-d54f42bc922b
17,./data/images/c2551487-7663-4852-bf1c-83af80ff63ae.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,c2551487-7663-4852-bf1c-83af80ff63ae
18,./data/images/ac2ead85-b12d-4425-a8b1-ad8564d33c3f.jpg,True,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,ac2ead85-b12d-4425-a8b1-ad8564d33c3f
19,./data/images/930311d3-d82a-4caa-bbd6-4459db7b28e2.jpg,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,930311d3-d82a-4caa-bbd6-4459db7b28e2
20,./data/images/956e023b-acaf-4d96-b1c6-0a5774d6ade8.jpg,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,956e023b-acaf-4d96-b1c6-0a5774d6ade8
21,./data/images/0c5d5429-3db0-46a7-8d92-7231ac9ced12.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0c5d5429-3db0-46a7-8d92-7231ac9ced12
22,./data/images/3474afab-0244-484a-be30-f0015291b41d.jpg,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,True,3474afab-0244-484a-be30-f0015291b41d
23,./data/images/869c3dfa-972d-423b-bc1b-de636d8ef6c8.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,869c3dfa-972d-423b-bc1b-de636d8ef6c8
24,./data/images/769d2767-39d5-4525-9896-c31814d0af7f.jpg,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,769d2767-39d5-4525-9896-c31814d0af7f
25,./data/images/00456abb-2a66-46d5-8b18-df334a4561ef.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,00456abb-2a66-46d5-8b18-df334a4561ef
