,example,changed,quality of life,capacity and resources,political,security and defense,policy prescription and evaluation,fairness and equality,none,health and safety,"legality, constitutionality and jurisprudence",morality,economic,public opinion,cultural identity,external regulation and reputation,crime and punishment,uuid
0,./data/images/cf474ef5-65bb-43e0-af43-dc9fafe352ed.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,cf474ef5-65bb-43e0-af43-dc9fafe352ed
1,./data/images/48d61969-7e82-4d16-8068-65e89e1dc880.jpg,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,48d61969-7e82-4d16-8068-65e89e1dc880
2,./data/images/d37bd8ee-b567-4557-8228-53aa3ae4d374.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,d37bd8ee-b567-4557-8228-53aa3ae4d374
3,./data/images/ce0adca4-0cf2-4ddb-90f3-247684048b79.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,ce0adca4-0cf2-4ddb-90f3-247684048b79
4,./data/images/ded0407c-a193-4f83-9a55-f741777ee032.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,ded0407c-a193-4f83-9a55-f741777ee032
5,./data/images/2a0d2df8-c287-42a7-88e6-84e48b14ffb7.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2a0d2df8-c287-42a7-88e6-84e48b14ffb7
6,./data/images/46a68a05-c6b8-49e0-9603-8df67ba9e69f.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,46a68a05-c6b8-49e0-9603-8df67ba9e69f
7,./data/images/241a12e7-1259-4d0b-86b5-798c8e19b487.jpg,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,241a12e7-1259-4d0b-86b5-798c8e19b487
8,./data/images/75af76b4-fbc0-405b-be54-85f9855f2188.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,75af76b4-fbc0-405b-be54-85f9855f2188
9,./data/images/2edc5ffa-a35b-4250-baca-58b512d78712.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2edc5ffa-a35b-4250-baca-58b512d78712
10,./data/images/1ae6175e-b697-4416-ab4c-8983d811274c.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1ae6175e-b697-4416-ab4c-8983d811274c
11,./data/images/39f8e0c5-a8e3-426d-82d4-03309dee5d36.jpg,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,39f8e0c5-a8e3-426d-82d4-03309dee5d36
12,./data/images/7c66f56d-258d-49f7-af88-6408995bc0bf.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7c66f56d-258d-49f7-af88-6408995bc0bf
