,example,changed,quality of life,capacity and resources,political,security and defense,policy prescription and evaluation,fairness and equality,none,health and safety,"legality, constitutionality and jurisprudence",morality,economic,public opinion,cultural identity,external regulation and reputation,crime and punishment,uuid
0,./data/images/0f127b67-dcde-4a2e-8b83-6ff09bf824f9.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0f127b67-dcde-4a2e-8b83-6ff09bf824f9
1,./data/images/36c8e59c-e3b8-45c9-9fe0-1368e6302ac4.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,36c8e59c-e3b8-45c9-9fe0-1368e6302ac4
2,./data/images/7d63aa64-b321-4a38-9924-f65852030006.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7d63aa64-b321-4a38-9924-f65852030006
3,./data/images/6087f017-588a-44a9-acec-60b509fabbfb.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6087f017-588a-44a9-acec-60b509fabbfb
4,./data/images/28d1daaa-abd4-450d-ac5e-f79f45ef509e.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,28d1daaa-abd4-450d-ac5e-f79f45ef509e
5,./data/images/03eca3a2-d3c4-472e-8d43-4c9649f363b4.jpg,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,03eca3a2-d3c4-472e-8d43-4c9649f363b4
6,./data/images/bce9388a-c849-4b65-a3f0-f5ead3ac8504.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,bce9388a-c849-4b65-a3f0-f5ead3ac8504
7,./data/images/a5a6de46-8954-4d3c-9564-a8058768826d.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,a5a6de46-8954-4d3c-9564-a8058768826d
8,./data/images/3f9b4145-0ac7-42e9-9526-06ca89791c06.jpg,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,3f9b4145-0ac7-42e9-9526-06ca89791c06
9,./data/images/d8942881-6edb-403a-a438-a3144dc05c3b.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,d8942881-6edb-403a-a438-a3144dc05c3b
10,./data/images/e7d9bc07-3298-4152-bd8a-6bb792203533.jpg,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,e7d9bc07-3298-4152-bd8a-6bb792203533
11,./data/images/d98f18fb-78a5-458f-b025-5b100d46d992.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,d98f18fb-78a5-458f-b025-5b100d46d992
12,./data/images/063be4b8-c08f-4dfd-8579-49a5d31068fc.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,063be4b8-c08f-4dfd-8579-49a5d31068fc
13,./data/images/c408dc42-ac14-4df9-a640-1f8dcb4eaa06.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,c408dc42-ac14-4df9-a640-1f8dcb4eaa06
14,./data/images/92a49fe4-65dc-47d2-9e24-4284e07b40a0.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,92a49fe4-65dc-47d2-9e24-4284e07b40a0
15,./data/images/a83c1930-b0fb-4cfd-8263-94c1e245c168.jpg,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,a83c1930-b0fb-4cfd-8263-94c1e245c168
16,./data/images/8a44ce21-3096-45d5-80de-d15812c18e01.jpg,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,8a44ce21-3096-45d5-80de-d15812c18e01
17,./data/images/e89509d4-2f3a-414e-bea9-454c2f8de353.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,e89509d4-2f3a-414e-bea9-454c2f8de353
18,./data/images/a401918d-1367-44ff-b2ea-c0812eb1066f.jpg,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,a401918d-1367-44ff-b2ea-c0812eb1066f
